|Unnamed: 0|id|fecha|anio|mes|dia|rol|victima|sexo|edad|fecha_deceso|edad_rango|dia_semana|acusado|hora_rango|x|y|lugar|direc_norm|comuna
156|156|2017-0015|2017-02-02|2017|2|2|PEATON|PEATON|MASCULINO|82.0|2017-02-21 00:00:00|6|Thursday|AUTO|15|-58.39293417|-34.59963642|CORDOBA AV. Y CALLAO|CORDOBA AV. y CALLAO AV.|2
157|157|2017-0016|2017-02-03|2017|2|3|CONDUCTOR|MOTO|MASCULINO|27.0|2017-02-04 00:00:00|4|Friday|CARGAS|5|-58.38099494|-34.62288231|AU 25 DE MAYO, KILOMETRO 8.3, SENTIDO HACIA PROVINCIA DE BUENOS AIRES, C.A.B.A.|AUTOPISTA 25 DE MAYO KM. 8.3|1
158|158|2017-0017|2017-02-06|2017|2|6|CONDUCTOR|MOTO|MASCULINO|32.0|2017-02-06 00:00:00|5|Monday|AUTO|8|-58.429012|-34.58095431|AV. JUAN B JUSTO Y PARAGUAY|JUSTO, JUAN B. AV. y PARAGUAY|14
159|159|2017-0018|2017-02-09|2017|2|9|CONDUCTOR|MOTO|MASCULINO|30.0|2017-02-09 00:00:00|5|Thursday|AUTO|7|-58.50877521|-34.66977709|AV. GRAL. PAZ Y AV. DE LOS CORRALES|PAZ, GRAL. AV. y DE LOS CORRALES AV.|9
160|160|2017-0021|2017-02-18|2017|2|18|CONDUCTOR|MOTO|MASCULINO|43.0|2017-02-18 00:00:00|5|Saturday|PASAJEROS|5|-58.38362373|-34.60509972|SARMIENTO Y LIBERTAD|SARMIENTO y LIBERTAD|1
161|161|2017-0024|2017-02-23|2017|2|23|PEATON|PEATON|MASCULINO|39.0|2017-02-23 00:00:00|5|Thursday|PASAJEROS|20|-58.46589308|-34.62955795|AV. RIVADAVIA 7121|RIVADAVIA AV. 7121|7
162|162|2017-0025|2017-02-24|2017|2|24|CONDUCTOR|MOTO|MASCULINO|23.0|2017-02-24 00:00:00|4|Friday|SD|17|-58.43614426|-34.6542464|AV. FERNANDEZ DE LA CRUZ Y RIVERA INDARTE|FERNANDEZ DE LA CRUZ, F., GRAL. AV. y RIVERA INDARTE AV.|7
163|163|2017-0026|2017-02-26|2017|2|26|PASAJERO_ACOMPAÑANTE|AUTO|FEMENINO|23.0|2017-02-26 00:00:00|4|Sunday|OBJETO FIJO|5|-58.41842777|-34.64979057|AV. PERITO MORENO Y FOURNIER|MORENO, PERITO AV. y FOURNIER|4
164|164|2017-0026|2017-02-26|2017|2|26|CONDUCTOR|AUTO|MASCULINO|19.0|2017-02-26 00:00:00|4|Sunday|OBJETO FIJO|5|-58.41842777|-34.64979057|AV. PERITO MORENO Y FOURNIER|MORENO, PERITO AV. y FOURNIER|4
165|165|2017-0027|2017-02-26|2017|2|26|PEATON|PEATON|MASCULINO||2017-02-26 00:00:00|6|Sunday|AUTO|21|-58.38332245|-34.6319325|AV. CASEROS 1429|CASEROS AV. 1429|1
166|166|2017-0028|2017-02-28|2017|2|28|PEATON|PEATON|MASCULINO|87.0|2017-02-28 00:00:00|6|Tuesday|AUTO|9|-58.45475488|-34.61196327|AV. GAONA Y FRAGATA SARMIENTO|GAONA AV. y FRAGATA PRES. SARMIENTO|6
167|167|2017-0029|2017-03-07|2017|3|7|SD|SD|MASCULINO|34.0|2017-03-07 00:00:00|5|Tuesday|AUTO|2|-58.48501341|-34.64742455|MOZART Y TANDIL|MOZART y TANDIL|9
168|168|2017-0030|2017-03-07|2017|3|7|CONDUCTOR|AUTO|FEMENINO|27.0|2017-03-07 00:00:00|4|Tuesday|PASAJEROS|8|-58.47010988|-34.65872088|MOZART Y COLECTORA AV. TTE. LUIS J DELLEPIANE|MOZART y AUTOPISTA DELLEPIANE LUIS TTE. GRAL.|9
169|169|2017-0031|2017-03-11|2017|3|11|PASAJERO_ACOMPAÑANTE|AUTO|MASCULINO|70.0|2017-03-11 00:00:00|6|Saturday|OBJETO FIJO|1|-58.4099756|-34.62873635|24 DE NOVIEMBRE Y PAVON |24 DE NOVIEMBRE y PAVON|3
170|170|2017-0032|2017-03-12|2017|3|12|PASAJERO_ACOMPAÑANTE|AUTO|FEMENINO|40.0|2017-03-12 00:00:00|5|Sunday|AUTO|5|-58.48892175|-34.68359163|AV. GRAL. PAZ Y PEDRO DE MENDOZA|PAZ, GRAL. AV. y LOS CEDROS|8
171|171|2017-0033|2017-03-12|2017|3|12|CONDUCTOR|AUTO|MASCULINO|28.0|2017-03-12 00:00:00|4|Sunday|AUTO|7|-58.52466448|-34.60325478|AV. GRAL. PAZ KM. 10|PAZ, GRAL. AV. y GUTIERREZ, RICARDO|11
172|172|2017-0034|2017-03-13|2017|3|13|PEATON|PEATON|MASCULINO|43.0|2017-03-13 00:00:00|5|Monday|AUTO|7|-58.42554218|-34.57929036|GODOY CRUZ 2651|GODOY CRUZ 2651|14
